City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Yellowknife,CA,62.456,-114.3525,19.42,68,75,17.27,broken clouds
79,Halifax,CA,44.6453,-63.5724,51.69,54,100,13.8,overcast clouds
80,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,74,40,12.66,scattered clouds
81,Arman,RU,59.7,150.1667,3.47,91,20,6.69,few clouds
82,Srednekolymsk,RU,67.45,153.6833,-20.94,100,93,2.06,overcast clouds
83,Moba,CN,33.2288,105.0179,43.0,87,100,4.07,overcast clouds
84,Roswell,US,34.0232,-84.3616,70.5,24,0,13.8,clear sky
85,Talnakh,RU,69.4865,88.3972,0.72,98,85,5.19,overcast clouds
86,Gornopravdinsk,RU,60.05,69.9,33.04,93,100,14.52,light snow
87,Zaranj,AF,30.9667,61.8833,69.76,11,6,4.7,clear sky
88,Aykhal,RU,66.0,111.5,5.04,96,100,8.37,overcast clouds
89,Georgetown,MY,5.4112,100.3354,78.73,92,20,3.44,few clouds
90,Tasiilaq,GL,65.6145,-37.6368,30.36,92,100,4.68,overcast clouds
91,Hobart,AU,-42.8794,147.3294,57.06,93,100,5.75,overcast clouds
92,Lebu,CL,-37.6167,-73.65,57.34,60,0,16.89,clear sky
93,Castro,BR,-24.7911,-50.0119,73.6,70,57,5.06,broken clouds
94,Khash,IR,28.2211,61.2158,68.97,11,0,3.02,clear sky
95,Carnarvon,AU,-24.8667,113.6333,77.07,83,40,12.66,scattered clouds
96,Butaritari,KI,3.0707,172.7902,81.21,74,100,13.67,overcast clouds
97,Grindavik,IS,63.8424,-22.4338,41.47,93,75,20.71,broken clouds
98,Namatanai,PG,-3.6667,152.4333,78.39,84,100,1.95,light rain
99,Kargasok,RU,59.0556,80.8572,20.16,89,100,9.78,overcast clouds
100,Faya,SA,18.3851,42.4509,66.31,21,72,4.43,broken clouds
101,Krasnokamensk,RU,50.0979,118.0369,30.67,51,70,8.84,broken clouds
102,Moron,AR,-34.6534,-58.6198,71.06,82,100,5.41,overcast clouds
103,Qaanaaq,GL,77.484,-69.3632,14.76,76,91,6.15,overcast clouds
104,Oriximina,BR,-1.7656,-55.8661,78.39,91,95,3.36,overcast clouds
105,Dangriga,BZ,16.9692,-88.2321,83.57,66,9,9.73,clear sky
106,Bethel,US,41.3712,-73.414,43.02,88,100,0.0,light rain
107,Inuvik,CA,68.3499,-133.7218,-13.94,58,75,2.3,light snow
108,Hope,US,33.6671,-93.5916,78.85,43,0,7.61,clear sky
109,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,17.27,scattered clouds
110,Begowal,IN,31.6167,75.5167,72.95,12,0,5.61,clear sky
111,Matara,LK,5.9485,80.5353,77.49,86,12,2.37,few clouds
112,Barinas,VE,8.6226,-70.2075,84.24,58,98,3.44,overcast clouds
113,Aitape,PG,-3.1374,142.3475,77.2,90,99,3.76,overcast clouds
114,Westport,US,41.1415,-73.3579,44.58,92,100,5.75,overcast clouds
115,Beloha,MG,-25.1667,45.05,71.96,87,1,9.8,clear sky
116,Challapata,BO,-18.9,-66.7667,55.44,39,31,8.84,scattered clouds
117,Cap Malheureux,MU,-19.9842,57.6142,79.47,83,18,7.0,few clouds
118,Sur,OM,22.5667,59.5289,82.4,48,12,8.37,few clouds
119,Hasaki,JP,35.7333,140.8333,48.29,71,96,20.09,light rain
120,Wenatchee,US,47.4235,-120.3103,58.66,46,0,9.22,clear sky
121,Sangar,RU,63.9242,127.4739,4.53,99,100,1.23,overcast clouds
122,Yanam,IN,16.7333,82.2167,76.26,95,14,2.15,few clouds
123,Sistranda,NO,63.7256,8.834,31.96,77,100,9.69,light snow
124,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,82,20,14.94,few clouds
125,New Norfolk,AU,-42.7826,147.0587,56.7,88,100,1.1,overcast clouds
126,Hamilton,US,39.1834,-84.5333,56.98,50,40,4.61,scattered clouds
127,Tazovskiy,RU,67.4667,78.7,-7.06,100,58,6.42,broken clouds
128,Vao,NC,-22.6667,167.4833,79.2,87,87,20.27,overcast clouds
129,Ixtapa,MX,20.7,-105.2,78.03,57,0,8.05,clear sky
130,Hede,CN,33.7681,120.2517,41.16,67,0,6.42,clear sky
131,Lagoa,PT,39.05,-27.9833,59.11,81,0,18.32,clear sky
132,Khatanga,RU,71.9667,102.5,-27.38,100,98,4.36,overcast clouds
133,Ponta Do Sol,PT,32.6667,-17.1,62.71,74,100,16.02,overcast clouds
134,Kapaa,US,22.0752,-159.319,76.98,79,40,20.71,scattered clouds
135,Axim,GH,4.8699,-2.2405,82.09,85,100,11.12,overcast clouds
136,Guerrero Negro,MX,27.9769,-114.0611,65.19,55,46,13.87,scattered clouds
137,Fort-Shevchenko,KZ,44.5086,50.263,51.44,77,100,5.93,overcast clouds
138,Lamar,US,33.6668,-95.5836,80.51,36,0,14.97,clear sky
139,Port Elizabeth,ZA,-33.918,25.5701,64.09,96,0,8.05,clear sky
140,Kahului,US,20.8947,-156.47,78.82,67,40,25.32,scattered clouds
141,Sao Filipe,CV,14.8961,-24.4956,70.81,77,3,11.54,clear sky
142,Trairi,BR,-3.2778,-39.2689,80.74,85,30,10.09,scattered clouds
143,Nuevitas,CU,21.5453,-77.2644,90.43,45,13,10.76,few clouds
144,Wanning,CN,18.8003,110.3967,66.38,77,100,11.1,overcast clouds
145,Villa Maria,AR,-32.4075,-63.2402,72.82,44,0,19.82,clear sky
146,Vila Velha,BR,-20.3297,-40.2925,84.15,80,40,10.36,scattered clouds
147,Avera,US,33.194,-82.5271,73.45,29,1,11.86,clear sky
148,Makakilo City,US,21.3469,-158.0858,77.32,54,20,18.41,few clouds
149,Katsuura,JP,35.1333,140.3,48.22,83,100,18.97,moderate rain
150,Wasilla,US,61.5814,-149.4394,39.22,53,20,3.44,few clouds
151,Kaitangata,NZ,-46.2817,169.8464,45.9,95,91,5.44,overcast clouds
152,Bilma,NE,18.6853,12.9164,88.63,4,3,6.4,clear sky
153,Kodinsk,RU,58.6881,99.1844,4.35,99,81,2.44,broken clouds
154,Vardo,NO,70.3705,31.1107,24.78,100,75,14.97,light snow
155,Oistins,BB,13.0667,-59.5333,84.29,58,20,19.57,few clouds
156,Lahaina,US,20.8783,-156.6825,78.8,84,20,13.06,few clouds
157,Te Anau,NZ,-45.4167,167.7167,44.91,79,46,0.74,scattered clouds
158,Port Alfred,ZA,-33.5906,26.891,69.19,91,100,1.99,overcast clouds
159,Ribeira Grande,PT,38.5167,-28.7,64.8,63,20,10.36,few clouds
160,Lotofaga,WS,-13.9764,-171.8578,78.58,75,46,14.94,scattered clouds
161,Gaurela,IN,22.75,81.9,76.35,11,0,0.67,clear sky
162,Cuamba,MZ,-14.8031,36.5372,69.93,94,20,2.48,light rain
163,Flinders,AU,-34.5833,150.8552,60.39,79,0,1.99,clear sky
164,Poronaysk,RU,49.2167,143.1167,39.43,64,27,12.15,scattered clouds
165,Maldonado,UY,-34.6667,-54.9167,74.59,49,47,13.27,scattered clouds
166,Barrow,US,71.2906,-156.7887,-7.58,71,40,16.11,mist
167,Malakal,SS,9.5334,31.6605,91.29,34,89,6.31,overcast clouds
168,Vilyuysk,RU,63.7553,121.6247,-1.97,100,100,4.12,overcast clouds
169,Shyryayeve,UA,47.3805,30.1964,39.74,79,100,13.4,overcast clouds
