City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,La Primavera,CO,2022-04-03 17:54:37,5.4906,-70.4092,88.83,51,88,4.0
59,La Ronge,CA,2022-04-03 17:54:37,55.1001,-105.2842,37.65,52,20,4.61
60,Burnie,AU,2022-04-03 17:54:38,-41.0667,145.9167,59.11,73,82,3.36
61,Vadso,NO,2022-04-03 17:51:31,70.0744,29.7487,25.68,93,100,20.71
62,Rocha,UY,2022-04-03 17:54:38,-34.4833,-54.3333,76.89,57,100,11.63
63,Soe,ID,2022-04-03 17:54:41,-9.8607,124.284,64.0,91,68,3.33
64,Fuling,CN,2022-04-03 17:54:41,29.7022,107.3919,63.39,66,100,3.24
65,Kodiak,US,2022-04-03 17:54:41,57.79,-152.4072,33.21,95,95,6.08
66,Kapaa,US,2022-04-03 17:54:42,22.0752,-159.319,75.18,86,62,3.0
67,Broome,US,2022-04-03 17:54:43,42.2506,-75.833,41.67,82,100,3.0
68,Avarua,CK,2022-04-03 17:52:30,-21.2078,-159.775,73.45,100,100,1.14
69,Nikolskoye,RU,2022-04-03 17:54:45,59.7035,30.7861,30.09,96,52,2.59
70,Basco,PH,2022-04-03 17:52:58,20.4487,121.9702,74.53,79,100,32.68
71,Chapais,CA,2022-04-03 17:54:46,49.7834,-74.8492,38.98,83,100,4.76
72,Bajil,YE,2022-04-03 17:54:46,15.0584,43.2851,87.76,39,7,0.6
73,Puerto Ayora,EC,2022-04-03 17:49:39,-0.7393,-90.3518,85.96,76,89,10.16
74,Jamestown,US,2022-04-03 17:50:40,42.097,-79.2353,33.53,74,100,11.5
75,Troitsko-Pechorsk,RU,2022-04-03 17:54:47,62.7084,56.1964,24.58,95,100,11.5
76,Hailar,CN,2022-04-03 17:54:51,49.2,119.7,35.58,41,95,11.9
77,Filadelfia,US,2022-04-03 17:50:15,39.9523,-75.1638,56.17,68,75,6.91
78,Luena,AO,2022-04-03 17:54:52,-11.7833,19.9167,64.38,95,98,4.97
79,Evensk,RU,2022-04-03 17:54:53,61.95,159.2333,4.21,86,54,5.84
80,Tecoanapa,MX,2022-04-03 17:54:53,16.5167,-98.75,82.81,56,4,9.8
81,Hermanus,ZA,2022-04-03 17:54:54,-34.4187,19.2345,64.8,78,25,8.95
82,Arman,RU,2022-04-03 17:54:54,59.7,150.1667,4.64,91,40,6.8
83,Shelburne,CA,2022-04-03 17:51:57,44.0787,-80.2041,38.12,84,100,12.39
84,Wasilla,US,2022-04-03 17:54:55,61.5814,-149.4394,34.52,64,0,4.61
85,Loandjili,CG,2022-04-03 17:54:58,-4.7561,11.8578,78.98,89,81,7.67
86,Orizona,BR,2022-04-03 17:54:59,-17.0314,-48.2958,85.51,39,0,8.5
87,Nanortalik,GL,2022-04-03 17:54:59,60.1432,-45.2371,37.63,81,93,5.03
88,Coolum Beach,AU,2022-04-03 17:56:00,-26.5333,153.1,69.08,95,8,1.45
89,Saint George,US,2022-04-03 17:56:00,37.1041,-113.5841,71.64,23,75,5.75
90,Kirkuk,IQ,2022-04-03 17:54:22,35.4681,44.3922,72.14,23,90,2.93
91,Tuatapere,NZ,2022-04-03 17:56:00,-46.1333,167.6833,46.71,93,73,2.82
92,Zhengjiatun,CN,2022-04-03 17:56:01,43.5064,123.5064,47.68,43,0,24.83
93,Mar Del Plata,AR,2022-04-03 17:56:02,-38.0023,-57.5575,75.22,62,20,20.0
94,Barrow,US,2022-04-03 17:56:02,71.2906,-156.7887,-13.81,98,72,12.62
95,Salalah,OM,2022-04-03 17:56:03,17.0151,54.0924,79.38,67,1,1.52
96,Tuktoyaktuk,CA,2022-04-03 17:56:03,69.4541,-133.0374,-25.6,68,20,2.3
97,Alice Springs,AU,2022-04-03 17:56:04,-23.7,133.8833,53.15,50,0,0.0
98,Narsaq,GL,2022-04-03 17:56:04,60.9167,-46.05,42.66,68,100,4.36
99,Halifax,CA,2022-04-03 17:55:01,44.6453,-63.5724,51.69,46,59,4.61
100,Labuhan,ID,2022-04-03 17:56:05,-6.8844,112.2051,76.68,90,100,11.54
101,Upernavik,GL,2022-04-03 17:56:05,72.7868,-56.1549,20.98,82,76,3.69
102,Vaini,TO,2022-04-03 17:56:06,-21.2,-175.2,71.76,100,40,0.0
103,Qaanaaq,GL,2022-04-03 17:56:06,77.484,-69.3632,15.21,76,96,5.97
104,Neiafu,TO,2022-04-03 17:56:07,-18.65,-173.9833,75.88,94,20,2.3
105,Rawson,AR,2022-04-03 17:56:07,-43.3002,-65.1023,62.02,27,75,19.15
106,Bolobo,CD,2022-04-03 17:56:07,-2.1667,16.2333,77.41,73,93,2.75
107,Carutapera,BR,2022-04-03 17:56:08,-1.195,-46.02,84.02,73,45,9.46
108,Yuncheng,CN,2022-04-03 17:56:08,35.0231,110.9928,56.07,65,90,6.15
109,Nalut,LY,2022-04-03 17:56:09,30.3333,10.85,76.82,9,0,3.24
110,Fujin,CN,2022-04-03 17:56:09,47.26,132.0322,46.89,47,0,14.65
111,Wanning,CN,2022-04-03 17:56:10,18.8003,110.3967,66.99,78,100,10.11
112,Kavieng,PG,2022-04-03 17:56:10,-2.5744,150.7967,81.18,77,97,4.65
113,Vestmannaeyjar,IS,2022-04-03 17:56:11,63.4427,-20.2734,43.79,93,75,19.57
114,Pingyin,CN,2022-04-03 17:56:11,36.2831,116.4453,48.38,64,2,10.25
115,Irmo,US,2022-04-03 17:56:12,34.086,-81.1832,73.26,31,0,12.24
116,Balkanabat,TM,2022-04-03 17:56:12,39.5108,54.3671,77.23,17,0,1.77
117,Rio Grande,BR,2022-04-03 17:56:13,-32.035,-52.0986,69.91,89,100,19.15
118,Dalbandin,PK,2022-04-03 17:56:13,28.8947,64.4101,77.34,8,25,5.68
119,Pangnirtung,CA,2022-04-03 17:56:13,66.1451,-65.7125,23.0,80,100,5.75
120,Niimi,JP,2022-04-03 17:56:14,34.9833,133.4667,47.53,95,62,3.89
121,Nome,US,2022-04-03 17:55:41,64.5011,-165.4064,9.1,56,62,5.5
122,Aswan,EG,2022-04-03 17:56:14,24.0934,32.907,97.9,13,97,5.75
123,Candabong,PH,2022-04-03 17:56:15,9.7343,124.5383,77.02,88,84,5.19
124,Coihaique,CL,2022-04-03 17:56:15,-45.5752,-72.0662,48.15,71,75,3.44
125,Dharchula,IN,2022-04-03 17:56:16,29.85,80.5333,62.15,26,4,8.68
126,Byron Bay,AU,2022-04-03 17:56:16,-28.65,153.6167,64.71,93,50,8.05
127,Port Blair,IN,2022-04-03 17:52:06,11.6667,92.75,82.44,78,20,5.75
128,Belaya Gora,RU,2022-04-03 17:56:16,68.5333,146.4167,-21.71,100,76,1.3
129,Buala,SB,2022-04-03 17:56:17,-8.145,159.5921,77.41,84,87,4.21
130,Guerrero Negro,MX,2022-04-03 17:52:38,27.9769,-114.0611,64.26,57,78,13.47
131,Vila Franca Do Campo,PT,2022-04-03 17:56:18,37.7167,-25.4333,63.01,72,12,16.98
132,Bela,IN,2022-04-03 17:56:18,25.9333,81.9833,84.33,8,1,1.36
133,Bjornevatn,NO,2022-04-03 17:57:19,69.6672,29.9847,25.14,93,75,4.61
134,Ancud,CL,2022-04-03 17:57:19,-41.8697,-73.8203,52.23,62,65,10.33
